Combined_Key,Last_Update,Confirmed,Deaths,Recovered,Incident_Rate,Case_Fatality_Ratio
Afghanistan,2022-02-01 04:21:11,162926,7414,,418.5279819656327,4.550532143427077
Albania,2022-02-01 04:21:11,258543,3346,,8984.050316213774,1.294175436967932
Algeria,2022-02-01 04:21:11,252117,6579,,574.9395744133155,2.6095027308749508
Andorra,2022-02-01 04:21:11,35958,145,,46538.53620656184,0.4032482340508371
Angola,2022-02-01 04:21:11,98116,1895,,298.5310044937259,1.9313873374373192
Antigua and Barbuda,2022-02-01 04:21:11,6627,127,,6767.21673065926,1.9164025954428847
Argentina,2022-02-01 04:21:11,8378656,121273,,18538.581602436,1.447403975052801
Armenia,2022-02-01 04:21:11,367795,8053,,12411.945867251794,2.189534931143708
"Australian Capital Territory, Australia",2022-02-01 04:21:11,36474,26,,8519.971969166083,0.0712836541097768
"New South Wales, Australia",2022-02-01 04:21:11,1086483,1422,,13383.628972653363,0.1308810170062486
"Northern Territory, Australia",2022-02-01 04:21:11,24311,2,,9898.615635179152,0.0082267286413557
"Queensland, Australia",2022-02-01 04:21:11,417689,209,,8165.164695533183,0.0500372286557702
"South Australia, Australia",2022-02-01 04:21:11,120233,120,,6845.032735553657,0.0998062096096745
"Tasmania, Australia",2022-02-01 04:21:11,30645,18,,5722.689075630252,0.0587371512481644
"Victoria, Australia",2022-02-01 04:21:11,863000,2029,,13016.78758352313,0.2351100811123986
"Western Australia, Australia",2022-02-01 04:21:11,1551,9,,58.95993309511138,0.5802707930367504
Austria,2022-02-01 04:21:11,1855578,14103,,20602.88239474152,0.7600327229574828
Azerbaijan,2022-02-01 04:21:11,658470,8734,,6494.315365895154,1.3264081886798185
Bahamas,2022-02-01 04:21:11,32562,746,,8280.270974041827,2.291014065475093
Bahrain,2022-02-01 04:21:11,374575,1408,,22013.32523890988,0.375892678368818
Bangladesh,2022-02-01 04:21:11,1798833,28394,,1092.2580237002894,1.5784678177462832
Barbados,2022-02-01 04:21:11,44430,280,,15460.850259768731,0.6302048165653837
Belarus,2022-02-01 04:21:11,742953,6052,,7862.50144322539,0.8145871946139258
"Antwerp, Belgium",2022-02-01 04:21:11,465936,0,,25077.476364192204,0.0
"Brussels, Belgium",2022-02-01 04:21:11,378746,0,,31339.084616008386,0.0
"East Flanders, Belgium",2022-02-01 04:21:11,401431,0,,26495.976407597303,0.0
